epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
76,1276.87,0.63444,0.81556,0.45155,0.85921,0,0.93727,0.93763,0.97519,0.81998,0.93727,0.93763,0.97519,0.8084,0.65448,0.84575,0.40618,0.84531,0,0.000515,0.000515,0.000515
77,1293.97,0.67215,0.87341,0.46352,0.87154,0,0.94124,0.92497,0.9747,0.80944,0.94124,0.92497,0.9747,0.78818,0.65685,0.85813,0.43601,0.84969,0,0.0004952,0.0004952,0.0004952
78,1310.88,0.65506,0.83219,0.4637,0.86321,0,0.94038,0.92535,0.97107,0.81041,0.94038,0.92535,0.97107,0.80674,0.65691,0.84596,0.41753,0.84951,0,0.0004754,0.0004754,0.0004754
79,1327.44,0.65507,0.8211,0.44958,0.86261,0,0.94484,0.91405,0.97485,0.81151,0.94484,0.91405,0.97485,0.79393,0.65388,0.85863,0.42814,0.84758,0,0.0004556,0.0004556,0.0004556
80,1344.45,0.63105,0.79826,0.45138,0.85489,0,0.93921,0.92743,0.97451,0.81768,0.93921,0.92743,0.97451,0.78703,0.64077,0.86564,0.41208,0.84623,0,0.0004358,0.0004358,0.0004358
81,1361.4,0.63511,0.79323,0.43983,0.85305,0,0.91092,0.9347,0.96647,0.80829,0.91092,0.9347,0.96647,0.80029,0.65597,0.84178,0.43216,0.84587,0,0.000416,0.000416,0.000416
82,1377.79,0.63352,0.80557,0.43654,0.85712,0,0.92877,0.92769,0.97088,0.80691,0.92877,0.92769,0.97088,0.80191,0.66671,0.85403,0.4242,0.8477,0,0.0003962,0.0003962,0.0003962
83,1394.31,0.64848,0.83567,0.44014,0.85948,0,0.91625,0.9403,0.96971,0.81197,0.91625,0.9403,0.96971,0.79632,0.64927,0.85591,0.42066,0.84535,0,0.0003764,0.0003764,0.0003764
84,1410.59,0.64,0.8217,0.45984,0.86744,0,0.93782,0.92588,0.97247,0.8211,0.93782,0.92588,0.97247,0.8025,0.64157,0.8327,0.41548,0.84296,0,0.0003566,0.0003566,0.0003566
85,1427.45,0.63446,0.8092,0.43467,0.8611,0,0.92816,0.93415,0.97136,0.81423,0.92816,0.93415,0.97136,0.79662,0.63854,0.8457,0.42862,0.84606,0,0.0003368,0.0003368,0.0003368
86,1444.24,0.63595,0.81403,0.43521,0.8657,0,0.93918,0.92906,0.97434,0.81873,0.93918,0.92906,0.97423,0.80588,0.64325,0.83469,0.41776,0.84286,0,0.000317,0.000317,0.000317
87,1461.17,0.62993,0.80723,0.42792,0.85032,0,0.93532,0.9273,0.97171,0.81689,0.93532,0.9273,0.97163,0.80695,0.64627,0.83639,0.41914,0.84372,0,0.0002972,0.0002972,0.0002972
88,1478.08,0.61638,0.77209,0.4453,0.84501,0,0.94378,0.91611,0.96855,0.80648,0.94378,0.91611,0.96855,0.78624,0.65653,0.8763,0.42998,0.85007,0,0.0002774,0.0002774,0.0002774
89,1495.02,0.62897,0.80202,0.42925,0.86124,0,0.94542,0.92224,0.97113,0.8167,0.94542,0.92224,0.97103,0.79853,0.64308,0.84226,0.40952,0.84478,0,0.0002576,0.0002576,0.0002576
90,1511.83,0.6385,0.80953,0.42415,0.85865,0,0.94114,0.91621,0.97356,0.81419,0.94114,0.91621,0.97341,0.79653,0.6432,0.83983,0.41196,0.84421,0,0.0002378,0.0002378,0.0002378
91,1527.19,0.60926,0.78944,0.43982,0.84264,0,0.94007,0.92016,0.9723,0.80372,0.94007,0.92016,0.9723,0.78746,0.65417,0.8529,0.42387,0.84851,0,0.000218,0.000218,0.000218
92,1542.61,0.6132,0.78163,0.46083,0.85424,0,0.94362,0.91951,0.96722,0.81142,0.94362,0.91951,0.96721,0.79616,0.6431,0.84692,0.42027,0.84511,0,0.0001982,0.0001982,0.0001982
93,1557.91,0.61048,0.79919,0.41816,0.84057,0,0.95013,0.91814,0.971,0.81101,0.95013,0.91814,0.971,0.7958,0.64614,0.84372,0.41597,0.84581,0,0.0001784,0.0001784,0.0001784
94,1573.16,0.60651,0.78574,0.43307,0.84129,0,0.94987,0.91269,0.97124,0.81477,0.94987,0.91269,0.97124,0.79857,0.64664,0.83906,0.42531,0.84549,0,0.0001586,0.0001586,0.0001586
95,1588.22,0.60033,0.78821,0.43312,0.84512,0,0.94718,0.92968,0.97057,0.8116,0.94718,0.92968,0.97057,0.79408,0.64596,0.84452,0.41618,0.84653,0,0.0001388,0.0001388,0.0001388
96,1602.97,0.61383,0.78281,0.41542,0.84836,0,0.94795,0.91951,0.97068,0.81611,0.94795,0.91951,0.97068,0.79409,0.6389,0.8447,0.4122,0.84559,0,0.000119,0.000119,0.000119
